year,time,Citywide,Manhattan,Bronx,Brooklyn,Queens,Staten Island
2022,9am,625420,184206,60281,197393,134394,49146
2022,12pm,884851,245312,89307,282265,199179,68788
2022,3pm,1129107,299016,119550,360872,261951,87718
2022,6pm,1418665,358029,158225,451422,338321,112668
2022,9pm,1820157,459747,203402,572595,442438,141975
2023,9am,132072,36948,14334,38714,34495,7581
2023,12pm,217954,57657,23651,66581,57373,12692
2023,3pm,312882,80138,34848,96870,82852,18174
2023,6pm,444511,110859,49849,140629,117747,25427
2023,9pm,579673,143956,64182,183243,155389,32903
2024,9am,1354066,344082,152753,428460,321356,107415
2024,12pm,1651146,405633,197268,522286,398950,127009
2024,3pm,1906956,453522,238730,600187,470251,144266
2024,6pm,2195863,504053,288364,685610,552712,165124
2024,9pm,2819376,666599,367346,861910,721937,201584
2025,9am,926156,265021,79394,306671,210494,64576
2025,12pm,1195062,328503,111609,395674,276772,82504
2025,3pm,1451942,383467,145591,478909,342882,101093
2025,6pm,1748698,444439,187399,571857,421176,123827
